Subjects,A1_inter,A2_bor,A3_useful,A4_useless
Agricultural Science,Interesting,Boring,Useful,Useless
Arts,,,,
Humanities,,,,
Biology,,,,
Biochemistry,,,,
Chemistry,,,,
Clinical Medicine,,,,
Computer Science,,,,
Economics,,,,
Business,,,,
Engineering,,,,
Ecology,,,,
Geoscience,,,,
History,,,,
Archaeology,,,,
Literature,,,,
Materials Science,,,,
Mathematics,,,,
Philosophy,,,,
Religion,,,,
Physics,,,,
Plant Science,,,,
Animal Science,,,,
Psychiatry,,,,
Psychology,,,,
Social Science,,,,
Performing Arts,,,,
